name,address,country,state,causes,website,mission,description
St. Jude Children's Research Hospital,"262 DANNY THOMAS PL , MEMPHIS TN 38105-3678 , USA",United States of America,Tennessee,Health&Hospitals&Society,http://www.stjude.org/,"St. Jude Children's Research Hospital seeks to advance cures, and means of prevention, for pediatric catastrophic diseases through research and treatment. Consistent with the vision of their founder Danny Thomas, no child is denied treatment based on race, religion or a family's ability to pay.","$1,000 helps 1 day of chemotherapy covering about two-thirds of the cost"
Worthy Of Love,"5550 Grosvenor Blvd  Apartment 312 , Los Angeles CA 90066 , USA",United States of America,California,Children & Family&Society,https://worthyoflove.net/,"An organization committed to transforming the way youth experience homelessness. We envision a world where every child can celebrate major life milestones, regardless of their financial background or living environment. Worthy of Love exists to create positive experiences and life-long memories for homeless youth and their families, by providing all-expenses-paid birthday parties to them as they navigate life's most challenging circumstances. ",
Streetcode Academy,"PO Box 51867 , E Palo Alto CA 94303 , USA",United States of America,California,Society&Youth Development,https://streetcode.org/,"StreetCode’s mission is to invigorate innovation within our communities. We provide historically economically disadvantaged people of color in our community with the high-tech skills, confidence, and access to networks needed to enter the technology industry. We offer free courses in coding, entrepreneurship, and design.","$4,000 supports 1 student with a full year of classes as well as provide them with a loaner laptop if needed."
The Art of Elysium,"3278 Wilshire Blvd PH  c/o Jennifer Howell , Los Angeles CA 90010 , USA",United States of America,California,Art&Children & Family&Society&Youth Development,http://www.theartofelysium.org/,"The Art of Elysium is a Los Angeles based non-profit 501 (c) 3 organization, founded in 1997, that encourages artists to dedicate their time and talent to under-served, at risk, and hospitalized children whose lives are constantly disrupted by hardship or chronic and often terminal illness. Every week we bring hands on workshops, led by local artists, free of charge to these children.",
Feeding America,"161 N Clark St Ste 700  Suite 700 , Chicago IL 60601-3389 , USA",United States of America,Illinois,Disaster Relief&Food & Nutrition&Natural Disasters&Society,http://feedingamerica.org/,"Our mission is to advance change in America by ensuring equitable access to nutritious food for all in partnership with food banks, policymakers, supporters, and the communities we serve. Through a network of more than 200 food banks, 21 statewide food bank associations, and over 60,000 partner agencies, food pantries and meal programs, we helped provide 6.6 billion meals to tens of millions of people in need last year. Feeding America also supports programs that prevent food waste and improve food security among the people we serve; brings attention to the social and systemic barriers that contribute to food insecurity in our nation; and advocates for legislation that protects people from going hungry.",$1 helps provide at least 10 meals to families in need through the Feeding America network of food banks
Goodie Nation,"PO Box 54244 , Atlanta GA 30308 , USA",United States of America,Georgia,Education&STEAM,http://www.goodienation.org,"No entrepreneur can succeed without a strong network of support. But because of the ways access and opportunity have traditionally been distributed, social entrepreneurs and diverse founders are less likely to know people from top colleges and companies than their counterparts. This means they have less robust networks to draw on for advice, customers, funding, and professional growth. We call this the Relationship Gap. ",$10 provides 1 founder mental health support
Boris Lawrence Henson Foundation,"2049 Century Park E Ste 1400 , Los Angeles CA 90067 , USA",United States of America,California,Health&Mental Health,https://borislhensonfoundation.org/,"As the pioneering Black mental health advocacy group in the US, the BLHF provides access to localized and black-culturally competent therapy resources sourced through a network of clinicians, service providers, counselors, and thought leaders. The foundation is named in honor of Boris Lawrence Henson, father of Academy Award and Emmy nominated actress and founder Taraji P. Henson, who suffered mental health challenges without resources or support.",
Black Outside,"305 E. Ramsey Rd , San Antonio TX 78216 , USA",United States of America,Texas,Children & Family&Society,http://www.blackoutside.org,"Black Outside, Inc was founded with the mission to reconnect Black/African-American youth to the outdoors. Through culturally relevant programming, inspired volunteers, and passion for connecting youth to the powerful history of Black people in the outdoors,  the nonprofit seeks to move the needle on diversity in the outdoors and ensure our youth have safe and equitable spaces outside.",
CoachArt,"445 S. Figueroa St., Suite 3100 , Los Angeles CA 90071 , USA",United States of America,California,Children & Family&Society&Youth Development,http://www.coachart.org/,CoachArt’s mission is to create a transformative arts and athletics community for families impacted by childhood chronic illness.,$18 funds the average cost of 1 child to have 1 month of CoachArt lessons
HBCUs Outside ,"PO BOX 3242 , ELIZABETH CTY NC 27906-3242 , USA",United States of America,North Carolina,Society&Youth Development,https://www.hbcusoutside.com,"HBCU Outside's mission is to see more Black faces running trails, climbing mountains, and sitting at outdoor industry boardroom tables. We help HBCU students and alumni enjoy the natural world and become the leaders we need for a healthy planet and a more diverse, equitable, and inclusive outdoor industry.",
Brave Trails,"PO Box 691300 , West Hollywood CA 90069 , USA",United States of America,California,Justice&LGBTQ+,http://www.bravetrails.org,"Brave Trails is a leadership-focused nonprofit that seeks to build the next generation of LGBTQ+ leaders while offering different programs through their leadership summer camp ranging from outdoor physical activities to mental health counseling with a focus on helping LGBTQ+ youth find what they need most to thrive: their people, their place, and their passion.","$1,050 Help Scholarship an LGBTQ camper for one week 1 Help a youth in need attend overnight leadership summer camp. in the United States of America"
Cool Effect,"100 Drakes Landing Rd Ste 260 , Greenbrae CA 94904-3121 , USA",United States of America,California,Climate Change&Education&Environment,https://www.cooleffect.org,Think of us as a way to crowdfund the fight against climate change. We’re a non-profit dedicated to bringing the best carbon projects in the world to one platform. It’s never been easier to take action for Earth.,
Campaign Zero,"30 E 125th ST #132 , New York NY 10035 , USA",,New York,United States of America,https://www.joincampaignzero.org/,"Campaign Zero is a comprehensive platform of research-based policy solutions to end police brutality in America. 
We can live in a world where the police don't kill people by limiting police interventions, improving community interactions, and ensuring accountability.",
GenderNexus,"3733 N. Meridian St Ste 310 , Indianapolis IN 46208 , USA",United States of America,Indiana,Society,http://gendernexus.org/,"GenderNexus is an emerging organization in Indiana that empowers people who are gender diverse to lead authentically healthy and holistic lives by connecting them with supportive services to meet their physical, emotional, social, spiritual, intellectual, occupational, and environmental needs.",
One Tree Planted,"145 Pine Haven Shores Rd Ste 1000D , Shelburne VT 05482-7812 , USA",Argentina,Vermont,Environment,http://www.onetreeplanted.org,One Tree Planted is a 501c3 non-profit organization dedicated to global reforestation. The organization makes it simple for anyone to help the environment and support healthy forests.  ,$1 plants 1 tree
Thirst Project,"5478 Wilshire Blvd. Suite 400 , Los Angeles CA 90036 , USA",United States of America,California,Disaster Relief&Society,http://www.thirstproject.org/,"Thirst Project is a nonprofit organization that works with the support of young people to END the global water crisis by building freshwater wells in developing communities that need safe, clean drinking water, vital to health and sanitation. ","$100 gives 1 entire family of four access to safe, clean drinking water for life"
